page,query,entryId,lang,sourceFile,clicks,impressions,ctr,position
https://noctalia.app/de/blog/wiederkehrende-traeume-bedeuten-ihre-verborgenen-botschaften-verstehen,wiederkehrende träume,blog.recurring-dreams-meaning,de,docs-src/content/blog/blog.recurring-dreams-meaning/de.md,1,14,0.07142857142857142,11.928571428571429
https://noctalia.app/,dream book app,page.home,en,docs-src/content/pages/page.home/en.md,0,1,0,57
https://noctalia.app/,dream companion app interface,page.home,en,docs-src/content/pages/page.home/en.md,0,3,0,15.666666666666666
https://noctalia.app/,dream dictionary app interface,page.home,en,docs-src/content/pages/page.home/en.md,0,1,0,79
https://noctalia.app/,dream journal app ui,page.home,en,docs-src/content/pages/page.home/en.md,0,7,0,86.71428571428571
https://noctalia.app/,dream journey release date,page.home,en,docs-src/content/pages/page.home/en.md,0,1,0,88
https://noctalia.app/,dream me app,page.home,en,docs-src/content/pages/page.home/en.md,0,3,0,36
https://noctalia.app/,dream recording app,page.home,en,docs-src/content/pages/page.home/en.md,0,1,0,45
https://noctalia.app/,dream talk recorder app screenshots,page.home,en,docs-src/content/pages/page.home/en.md,0,5,0,64.6
https://noctalia.app/,dreamapp dream interpretation app interface,page.home,en,docs-src/content/pages/page.home/en.md,0,1,0,53
https://noctalia.app/,dreame novel reading app interface,page.home,en,docs-src/content/pages/page.home/en.md,0,3,0,70.66666666666667
https://noctalia.app/,dreamjourney ai,page.home,en,docs-src/content/pages/page.home/en.md,0,1,0,55
https://noctalia.app/,dreamjourney ai app,page.home,en,docs-src/content/pages/page.home/en.md,0,1,0,83
https://noctalia.app/,noctalia blur,page.home,en,docs-src/content/pages/page.home/en.md,0,4,0,27
https://noctalia.app/,noctalia de,page.home,en,docs-src/content/pages/page.home/en.md,0,1,0,65
https://noctalia.app/,noctalia templates,page.home,en,docs-src/content/pages/page.home/en.md,0,1,0,23
https://noctalia.app/,noctalia theme,page.home,en,docs-src/content/pages/page.home/en.md,0,3,0,57.333333333333336
https://noctalia.app/,noctalia themes,page.home,en,docs-src/content/pages/page.home/en.md,0,1,0,36
https://noctalia.app/,noctalia v5,page.home,en,docs-src/content/pages/page.home/en.md,0,1,0,38
https://noctalia.app/,oniri dream journal app,page.home,en,docs-src/content/pages/page.home/en.md,0,5,0,86.4
https://noctalia.app/,oniri dream journal app interface,page.home,en,docs-src/content/pages/page.home/en.md,0,1,0,79
https://noctalia.app/de/,noctalia de,page.home,de,docs-src/content/pages/page.home/de.md,0,1,0,29
https://noctalia.app/de/,traum analysieren,page.home,de,docs-src/content/pages/page.home/de.md,0,1,0,67
https://noctalia.app/de/,traumtagebuch app,page.home,de,docs-src/content/pages/page.home/de.md,0,1,0,16
https://noctalia.app/de/agb,noctalia de,legal.terms,de,docs-src/content/pages/legal.terms/de.md,0,1,0,19
https://noctalia.app/de/blog/,bewertungsangst,blog.index,de,docs-src/content/blog/blog.index/de.md,0,3,0,58.666666666666664
https://noctalia.app/de/blog/,präkognitive träume,blog.index,de,docs-src/content/blog/blog.index/de.md,0,1,0,54
