date,phase,evidence,status,decision,next_action
2026-08-10,J26,"Git reconciliation since J25 merge",confirmed,"12 commits after 36216ecf; 33 files; dataset source update separated from backlink documentation","preserve publication and outreach as distinct confounders"
2026-08-10,J26,"Ahrefs Limits & Usage interface",confirmed,"Starter monthly; next billing and reset 2026-08-16 UTC; 63 general credits; Rank Tracker 50/50; workspace Site Audit 1647/10000","no paid report before scoped warning and authorization"
2026-08-10,J26,"Ahrefs connector limits",confirmed,"Trial billed monthly; reset 2026-08-16T00:00:00Z; zero API units used and zero workspace units available","do not substitute connector layer for general UI counters"
2026-08-10,J26,"Noctalia Site Audit crawl log",confirmed,"latest crawl 2026-08-03; Health Score 100; 1596 URLs crawled; 1175 billed pages; 0 errors; 44 warnings","inspect existing evidence only; no new crawl"
2026-08-10,J26,"Rank Tracker live desktop and mobile",confirmed,"50/50 unchanged; desktop 42 ranked and 8 unranked; mobile 42 ranked and 8 unranked","preserve all keywords locations and tags"
2026-08-10,J26,"GSC 2026-07-11..2026-08-07 vs 2026-06-13..2026-07-10",confirmed,"site 4271 vs 2369 clicks; 481573 vs 307209 impressions; position 7.32 vs 8.52","retain aligned complete windows and avoid single-cause attribution"
2026-08-10,J26,"GSC shortlist 5+3",confirmed,"328 vs 91 clicks; 46117 vs 21461 impressions; CTR 0.711% vs 0.424%; position 6.15 vs 7.30","do not disturb pages already improving"
2026-08-10,J26,"scuola natural baseline",confirmed,"7 clicks; 1906 impressions; CTR 0.367%; position 6.08; no scuola treatment published","keep scuola separate and unstarted"
2026-08-10,J26,"casa ragno perro GSC",pre_treatment_only,"latest complete day is 2026-08-07 before 2026-08-08 metadata publication","wait for J+7 checkpoint 2026-08-15"
2026-08-10,J26,"Rank Tracker URL drift reconciliation",mixed,"50 sueños target confirmed; traumlexikon target dominant with secondary URLs; sognare acqua sporca split between target guide and symbol page","investigate only the Italian water split before action"
2026-08-10,J26,"GSC traumsymbole a bis z alert",mixed,"weekly clicks 14 vs 70 and position 3.4 vs 1.4; decline concentrated on mobile and Germany/Austria; 28-day clicks still 180 vs 120","verify mobile DE/AT SERP before editing"
2026-08-10,J26,"Authorized Rank Tracker SERP micro-lot",confirmed,"mobile Germany keeps Noctalia number 1 on 2026-08-02 and 2026-08-09; same target URL; SERP similarity 84; general credits 63 to 63","monitor without edit target change or Austria location change"
2026-08-10,J26,"GSC indexation report",confirmed,"990 indexed; 275 not indexed; 254 crawled currently not indexed; validation failed","segment by page type and value; no bulk indexing request"
2026-08-10,J26,"D3A follow-ups and Ahrefs DR movement",non_causal,"three follow-ups sent; no reply or publication at last checks; DR 0.1 and 406 referring domains not attributable","monitor without duplicate follow-up"
2026-08-10,J26,"Raw GSC export",private_temporary,"readonly API export stored outside Git under /tmp","commit only durable aggregates and decisions"
2026-08-10,J26,"GSC refresh at 15:40 CEST",confirmed,"latest complete day 2026-08-08; 2026-07-12..2026-08-08 = 4270 clicks, 486318 impressions, CTR 0.878%, position 7.32; previous 2436, 311126, 0.783%, 8.43","use this window for current site totals; one post-publication day does not measure the 2026-08-08 metadata wave"
2026-08-10,J26,"Scheduled Site Audit crawl",confirmed,"completed 16:12 CEST without manual trigger; Health 100; 0 errors; 1615 total URLs; 1201 internal; 1196 HTML; 414 resources; 2843/10000 workspace crawl credits","retain as the technical baseline and do not trigger another crawl"
2026-08-10,J26,"Site Audit warning delta",actionable,"warnings 44 to 46; new short meta descriptions are /pt-br/politica-de-privacidade at 94 characters and /pt-br/termos-de-uso at 92","prepare a separate local source review on current master; preserve legal meaning"
2026-08-10,J26,"Ahrefs x-default notices",accepted_tool_notice,"/pt-br/funcionalidades and /pt-br/perguntas-frequentes intentionally omit x-default because no English versions exist; origin/master contract and test require this","no SEO fix; keep repository contract"
2026-08-10,J26,"Lot A organic footprint",confirmed,"Organic Keywords: IT 402, DE 96, FR 53, ES 108, US 71, GB 0; US result is dominated by Spanish pages and FR Top Pages did not load after two attempts","protect IT/ES/DE owners; keep EN and Italian water holds; do not treat US as an English cohort"
2026-08-10,J26,"Lot B internal architecture",mixed,"1187 pages, 4015 internal anchors, Empty anchor on 85 pages and 99 links; 40 automatic opportunities contain duplicates, fragments, self-links and legacy /Home/Simboli","manually deduplicate; review the DE chased-dream article first; reject bulk patches"
2026-08-10,J26,"GSC and internal-link cross-reference",qualified,"/de/blog/traeume-verfolgt-werden-bedeutung-und-interpretation appears in the 254 GSC sample and as a source for a recurring-dream link opportunity","review indexability, uniqueness and anchor on current master; do not claim causality or request bulk indexing"
2026-08-10,J26,"Lot C backlink profile",mixed,"459 backlinks, 411 referring domains, 8 dofollow domains, 403 nofollow-only domains; five of eight dofollow domains are marked SPAM; top anchor spam spans 224 referring domains","monitor; no disavow without GSC manual action or other damage evidence"
2026-08-10,J26,"New editorial dofollow backlink",confirmed,"it.thamhiemmekong.com DR55 and domain traffic 13.8K links to the Italian dream-recall article; public source HTTP 200, self-canonical, no restrictive robots meta, no nofollow","retain and measure separately from outreach and rankings"
2026-08-10,J26,"Broken Backlinks report",blocked_by_paid_boost,"Ahrefs displays Boost your project and no report data","do not infer zero broken backlinks; no pricing or boost action without explicit authorization"
