file_name,drive_file_id,drive_url,sha256,source_commit
j25-evidence-register-2026-08-09.csv,1UkDVTjBo7o_2KAoJQSEZGHaam11U0Tlu,https://drive.google.com/file/d/1UkDVTjBo7o_2KAoJQSEZGHaam11U0Tlu/view?usp=drivesdk,029b256f29698b797cd3d471370e9755336cccb5d382987658fce75a06aa0350,06cec17be9228b23e5d8de23c5bd2008d3266aba
j25-master-reconciliation-2026-08-09.md,1NKq94uDYbKczsxfQaziErpM0yciQgz1h,https://drive.google.com/file/d/1NKq94uDYbKczsxfQaziErpM0yciQgz1h/view?usp=drivesdk,da651a91dbbc8603c61a961ba6429729c5afc98730651c0605faa3866301cd61,06cec17be9228b23e5d8de23c5bd2008d3266aba
j26-competitive-gap-backlog-2026-08-10.csv,19uWaE6AEfGZMvD2PLpL6yxCwl3JiJWD1,https://drive.google.com/file/d/19uWaE6AEfGZMvD2PLpL6yxCwl3JiJWD1/view?usp=drivesdk,fbdd07c9ff47ce8d33d577a27ef47f71620316fd742835119086a6611ce7fea1,06cec17be9228b23e5d8de23c5bd2008d3266aba
j26-competitive-keyword-gap-2026-08-10.md,1KFPEKUA321uTq283eaEsjeIxP-3oXr0Y,https://drive.google.com/file/d/1KFPEKUA321uTq283eaEsjeIxP-3oXr0Y/view?usp=drivesdk,3177a73c4f15992ae4ffe440e000e6e39128695f8bc33d2e0b7035cf3491c094,06cec17be9228b23e5d8de23c5bd2008d3266aba
j26-content-opportunity-backlog-2026-08-10.csv,13oOgKFAYsqdP7iBLbVVbP9UOPkHZuPzG,https://drive.google.com/file/d/13oOgKFAYsqdP7iBLbVVbP9UOPkHZuPzG/view?usp=drivesdk,26d5b752efd05f4c01d38685c61618c4b6f505a985a72421ac7e9c479a859124,06cec17be9228b23e5d8de23c5bd2008d3266aba
j26-evidence-register-2026-08-10.csv,1MJE_utbYGVM-70dwXNshZChFWfP57O5C,https://drive.google.com/file/d/1MJE_utbYGVM-70dwXNshZChFWfP57O5C/view?usp=drivesdk,23d0a57c0b14c301c7ef261daaf334912018a9c24fecc5c2f86346b5214a3b7a,06cec17be9228b23e5d8de23c5bd2008d3266aba
j26-gsc-content-opportunities-2026-08-10.md,18sb1njkxVos4lC2A1mFu6cVIuuQVUobZ,https://drive.google.com/file/d/18sb1njkxVos4lC2A1mFu6cVIuuQVUobZ/view?usp=drivesdk,3711696d1e984d34ec9f309f65ac66c7d6da72a7591fb036ff9ddec1164e2b8f,06cec17be9228b23e5d8de23c5bd2008d3266aba
j26-j31-starter-utilization-plan-2026-08-10.md,1bWpI5JOyekgxToZVlcXp96bsQx14mez-,https://drive.google.com/file/d/1bWpI5JOyekgxToZVlcXp96bsQx14mez-/view?usp=drivesdk,2e6dd853c49e046339392c694aacc5cc7e0bb6a299b5b7d1810a86ce81a22faf,06cec17be9228b23e5d8de23c5bd2008d3266aba
j26-new-content-summary-2026-08-10.md,1iybpXLu8dAtGtvhhmGuYqXO4z71mMjbs,https://drive.google.com/file/d/1iybpXLu8dAtGtvhhmGuYqXO4z71mMjbs/view?usp=drivesdk,a2ea5d85915b4c473cbe44a8c998fa9fefbffb9f9d8b24e9a7e85a5c338be0b8,06cec17be9228b23e5d8de23c5bd2008d3266aba
j26-seo-takeover-live-reconciliation-2026-08-10.md,1l89pUz5hfJY3xOtKOLed9UlJkgnhykkC,https://drive.google.com/file/d/1l89pUz5hfJY3xOtKOLed9UlJkgnhykkC/view?usp=drivesdk,c6cc8ad30773ca61d653c480be7e1ab4af699750e2c3b1baee82fca7f6629a8d,06cec17be9228b23e5d8de23c5bd2008d3266aba
j26-starter-execution-2026-08-10.md,1VnV92Tnk60oXaBWOYA8N7gxg40YFDY-U,https://drive.google.com/file/d/1VnV92Tnk60oXaBWOYA8N7gxg40YFDY-U/view?usp=drivesdk,040a89882da32eb6b5766dc5dd46ea6056902e9aa7c0e6eab67def969d32c9d1,06cec17be9228b23e5d8de23c5bd2008d3266aba
j27-content-validation-backlog-2026-08-11.csv,1EGVOyv-JxyQutWuy45a5sbEqqcOliVhq,https://drive.google.com/file/d/1EGVOyv-JxyQutWuy45a5sbEqqcOliVhq/view?usp=drivesdk,7235bdd01e5a74029425c2b391f6fa40dc139eb1a5744b0f5d45b39943900c46,06cec17be9228b23e5d8de23c5bd2008d3266aba
j27-gsc-keyword-validation-2026-08-11.md,1FyYAuSigy3gnnNzOW7l1F7ZJLtYeVBtd,https://drive.google.com/file/d/1FyYAuSigy3gnnNzOW7l1F7ZJLtYeVBtd/view?usp=drivesdk,972d5b58b2e5ff665b6c95e410f08f72608b9671a086158e08b8e0fc05c5963a,06cec17be9228b23e5d8de23c5bd2008d3266aba
j27-ranking-expansion-2026-08-11.md,1GlxSGguk_TIq2OK8ptscO0DsT_kdr-H8,https://drive.google.com/file/d/1GlxSGguk_TIq2OK8ptscO0DsT_kdr-H8/view?usp=drivesdk,1e56b5f5771578c3cc0bad932f03803e8b1e7544dfebcccbea6ba47b1eb0a6ea,06cec17be9228b23e5d8de23c5bd2008d3266aba
j27-ranking-expansion-backlog-2026-08-11.csv,1nBJ_hrKfVJg8p6N7ot_c1Rrgn_dG-m8l,https://drive.google.com/file/d/1nBJ_hrKfVJg8p6N7ot_c1Rrgn_dG-m8l/view?usp=drivesdk,8f5df257b33ac569454cf92d2a56905f259ebf34278b6d687bff50ffb416f8b6,06cec17be9228b23e5d8de23c5bd2008d3266aba
j27-ranking-expansion-execution-2026-08-11.md,11HiAE9xMxWzbP6HMhui63XDneuPZVOgk,https://drive.google.com/file/d/11HiAE9xMxWzbP6HMhui63XDneuPZVOgk/view?usp=drivesdk,6060b7bc1e1e916f20e554c4028ebe76176c6ffbecb39338a5e51315295de863,1b57f1988ba4c572024103b19512188acc1dfa89
j28-gsc-indexation-triage-2026-08-12.md,1r2eVLdvu4Tae-37LsA7vx0kaMRtCxD7U,https://drive.google.com/file/d/1r2eVLdvu4Tae-37LsA7vx0kaMRtCxD7U/view?usp=drivesdk,106c469a5a79217d89f7e9cc0ae3134039df50d4623bae7c163a455475c5d889,b2384a4e63965c2d3dda394f78545ef858b9e6ad
j28-actionable-levers-execution-2026-08-12.md,1C6jW4OczqS38VElFwsQQca7TrMIwdT7m,https://drive.google.com/file/d/1C6jW4OczqS38VElFwsQQca7TrMIwdT7m/view?usp=drivesdk,ed739b0f330dc5063375a160c4b1c7040671c2beab50718fe2e502dc6f1e982a,236f32bfd1c0358dd36e30255e39c365d8d5b032
j29-authority-recovery-2026-08-13.md,1pBHvbx25DtwkBS6Qf1RfRTA_b0IjP-Is,https://drive.google.com/file/d/1pBHvbx25DtwkBS6Qf1RfRTA_b0IjP-Is/view?usp=drivesdk,c48c70510fcb7e8bae00986d1542f302deab003841462f04fad555ae0dbde557,51635590371770ebec515c976b010335f3d4369e
